statistic,manzana,hab_total,hab_vigentes,hab_novigentes,parcelas,lon,lat,barrio,tasa_cruda,tasa_supervivencia
count,7533,7533.0,7533.0,7533.0,7533.0,7533.0,7533.0,7533,7533.0,7533.0
null_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
mean,,9.308907473782027,3.081375282092128,6.227532191689898,4.539891145625913,-64.19552695784363,-31.404620515754054,,0.3040930894705963,0.327604775864001
std,,24.08877349592625,8.453608971349315,15.930628330005495,8.893624479789546,0.04276121671703028,0.03868103332349955,,0.29068106785648573,0.06038139773412825
min,01-01-001,1.0,0.0,0.0,1.0,-64.30976388399995,-31.516791080500013,1 DE JULIO,0.0,0.11821915464035138
25%,,1.0,0.0,1.0,1.0,-64.22676123099995,-31.432714274999995,,0.0,0.29355442539381366
50%,,3.0,1.0,2.0,2.0,-64.19687377163157,-31.40448891599999,,0.2857142857142857,0.30786688070927415
75%,,9.0,3.0,6.0,5.0,-64.16396093050002,-31.378289671999994,,0.5,0.3591780274941532
max,34-07-004,657.0,223.0,434.0,246.0,-64.057942562,-31.308646220000014,YOFRE SUD,1.0,0.807753408248246
