train_hasta,n_test,solo_rubro,rubro_entorno,mas_estructura
2016,22661,0.5778734344094871,0.5920586582544893,0.606681050356152
2017,15457,0.5732989680183436,0.5790818794038746,0.5877981729331138
2018,9142,0.5651420730157111,0.5794324261729766,0.5852974543352171
