split,n_test,solo_rubro,rubro_entorno
0,11992,0.5845890519761088,0.6599781738467403
1,9383,0.6049636165012591,0.6602909318445197
2,9520,0.6008471945140699,0.6636843991735866
3,11049,0.6028183887737419,0.67388675206415
4,11578,0.5933699184815588,0.6888134430335856
