nivel2,spells,cierres,mediana_anios,s3,s5
bar_restaurante,1598,27,inf,0.993,0.95
electrodomesticos,324,15,inf,0.957,0.936
veterinaria,231,11,inf,0.941,0.92
espectaculos,202,25,5.002053388090349,0.991,0.721
ortopedia,231,57,5.002053388090349,0.948,0.568
dietetica,4441,1178,5.002053388090349,0.932,0.553
deportes,183,62,5.002053388090349,0.987,0.548
venta_vehiculos,442,168,5.002053388090349,0.995,0.546
estacion_servicio,299,200,5.002053388090349,1.0,0.545
alimentos_otros,1122,361,5.002053388090349,0.95,0.542
tabaqueria,425,178,5.002053388090349,0.947,0.538
pescaderia,380,170,5.002053388090349,0.955,0.535
golosinas,728,284,5.002053388090349,0.952,0.516
comercio_otros,3306,1920,5.002053388090349,0.983,0.512
consultorio,1191,513,5.002053388090349,0.963,0.506
indumentaria_deportiva,699,341,5.002053388090349,0.972,0.503
deposito,2026,1354,5.002053388090349,0.999,0.502
mayorista,2774,1527,4.999315537303217,0.997,0.494
juegos_azar,1550,1064,4.999315537303217,0.972,0.49
lacteos,1009,501,4.999315537303217,0.975,0.485
construccion,442,253,4.999315537303217,0.982,0.475
cafeteria,303,238,4.999315537303217,1.0,0.473
cobranzas,929,641,4.999315537303217,0.98,0.472
oficina,2687,1555,4.999315537303217,0.966,0.468
fotografia,153,117,4.999315537303217,0.987,0.464
repuestos,2155,1325,4.999315537303217,0.985,0.463
fiambreria,1136,501,4.999315537303217,0.949,0.463
otro,7609,4014,4.999315537303217,0.975,0.458
intermediarios,453,392,4.999315537303217,0.998,0.446
heladeria,1187,648,4.999315537303217,0.973,0.442
perfumeria,2637,1511,4.999315537303217,0.983,0.44
marroquineria,1848,1181,4.999315537303217,0.979,0.439
bazar,801,403,4.999315537303217,0.984,0.439
optica,537,241,4.999315537303217,0.977,0.439
educacion,476,191,4.999315537303217,0.968,0.438
jugueteria,1477,854,4.999315537303217,0.98,0.436
carniceria,2565,1510,4.999315537303217,0.957,0.435
polleria,2614,1271,4.999315537303217,0.946,0.435
farmacia,1063,660,4.999315537303217,0.997,0.435
seguros,389,259,4.999315537303217,0.975,0.434
articulos_hogar,720,409,4.999315537303217,0.974,0.433
bebidas,4556,2284,4.999315537303217,0.961,0.433
calzado,2182,1373,4.999315537303217,0.973,0.433
vivero,390,203,4.999315537303217,0.965,0.427
tecnologia,1587,867,4.999315537303217,0.966,0.426
inmobiliaria,1178,749,4.999315537303217,0.98,0.425
merceria,996,689,4.999315537303217,0.984,0.423
fabricacion,2784,1680,4.999315537303217,0.998,0.423
comida_para_llevar,4494,2160,4.999315537303217,0.942,0.419
ropa_infantil,1171,794,4.999315537303217,0.978,0.416
bijouterie,2057,1373,4.999315537303217,0.983,0.411
libreria,1971,1249,4.999315537303217,0.981,0.405
lenceria,931,503,4.999315537303217,0.961,0.402
usados,375,157,4.999315537303217,0.997,0.402
pinturería,435,263,4.999315537303217,0.997,0.402
ferreteria,865,544,4.999315537303217,0.997,0.398
regaleria,1415,1264,4.999315537303217,1.0,0.396
panaderia,4829,3453,4.999315537303217,0.98,0.393
gimnasio,564,312,4.999315537303217,0.996,0.393
peluqueria,1903,1298,4.999315537303217,0.972,0.392
limpieza,1785,1162,4.999315537303217,0.98,0.392
belleza,405,343,4.999315537303217,1.0,0.392
verduleria,2671,1665,4.999315537303217,0.962,0.392
kiosco,6435,4180,4.999315537303217,0.973,0.386
almacen,6060,4939,4.999315537303217,0.989,0.384
taller_mecanico,675,508,4.999315537303217,1.0,0.381
forrajeria,1368,852,4.999315537303217,0.973,0.381
ropa,5571,3539,4.999315537303217,0.974,0.375
locutorio,347,298,4.999315537303217,0.997,0.375
transporte,852,667,4.999315537303217,0.999,0.374
muebleria,1115,698,4.999315537303217,0.972,0.373
reparaciones,523,416,4.999315537303217,0.994,0.371
fotocopias,1119,805,4.999315537303217,0.986,0.369
turismo,881,620,4.999315537303217,0.986,0.354
