rubronombre,n,nivel2,nivel1
Pollería. Venta al por menor de aves evisceradas y huevos,1312,polleria,alimentos
"Servicios de elaboración propia o por terceros y venta para llevar y entrega a domicilio de alimentos perecederos calientes, fríos o congelados, sin sucursales, con superficie habilitada de hasta 50 m2",1281,comida_para_llevar,gastronomia
VENTA AL POR MENOR DE PAN Y PRODUCTOS DE PANADERÍA,1205,panaderia,gastronomia
Quiniela,1185,juegos_azar,esparcimiento
"VENTA AL POR MENOR DE CARNES ROJAS, MENUDENCIAS Y CHACINADOS FRESCOS",1181,carniceria,alimentos
VENTA AL POR MENOR DE ARTÍCULOS NUEVOS N.C.P.,1181,comercio_otros,comercio general
"VENTA AL POR MENOR DE FRUTAS, LEGUMBRES Y HORTALIZAS FRESCAS",1114,verduleria,alimentos
Venta al por menor de panificadoras y panaderías,1085,panaderia,gastronomia
"VENTA AL POR MENOR DE HUEVOS, CARNE DE AVES Y PRODUCTOS DE GRANJA Y DE LA CAZA",1005,polleria,alimentos
"VENTA AL POR MENOR DE PRODUCTOS COSMÉTICOS, DE TOCADOR Y DE PERFUMERÍA",980,perfumeria,salud
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada hasta 100 m2.-",974,bar_restaurante,gastronomia
"Venta al por menor de repuestos y accesorios para vehículos automotores, incluido equipos de G.N.C.",971,repuestos,automotor
PELUQUERÍAS INSTALADAS FUERA DEL PERÍMETRO Y TRAMOS ESTABLECIDOS POR EL ARTÍCULO 142° DE LA ORDENANZA TRIBUTARIA 2011,900,peluqueria,servicios personales
Servicio de fotocopiado. Fotocopiadoras,897,fotocopias,servicios personales
Venta al por menor en farmacias de productos medicinales,880,farmacia,salud
"Bingo, quini-6 u otros similares",874,juegos_azar,esparcimiento
SERVICIOS COMBINADOS DE GESTIÓN ADMINISTRATIVA DE OFICINAS,849,oficina,servicios profesionales
Venta al por menor de artículos varios. Polirubros,839,kiosco,comercio general
"VENTA AL POR MENOR DE PRODUCTOS ALIMENTICIOS N.C.P., EN COMERCIOS ESPECIALIZADOS",830,alimentos_otros,alimentos
Lotería,814,juegos_azar,esparcimiento
Venta al por menor de juguetes. Jugueterías,766,jugueteria,esparcimiento
Venta al por menor de ropa y accesorios para bebés y niños,741,ropa_infantil,indumentaria
Horneado de pan,724,panaderia,gastronomia
"VENTA AL POR MENOR DE CALZADO, EXCEPTO EL ORTOPÉDICO Y EL DEPORTIVO",721,calzado,indumentaria
VENTA AL POR MENOR DE FIAMBRES Y EMBUTIDOS,700,fiambreria,alimentos
VENTA AL POR MENOR EN MINIMERCADOS,693,almacen,alimentos
Venta al por menor de artículos de telefonía - celulares y sus accesorios,681,tecnologia,comercio general
SERVICIOS DE PELUQUERÍA,659,peluqueria,servicios personales
Venta al por menor de artículos de ferretería. Ferretería,656,ferreteria,hogar y construccion
"VENTA AL POR MENOR DE JUGUETES, ARTÍCULOS DE COTILLÓN Y JUEGOS DE MESA",651,jugueteria,esparcimiento
"VENTA AL POR MENOR DE PAPEL, CARTÓN, MATERIALES DE EMBALAJE Y ARTÍCULOS DE LIBRERÍA",649,libreria,comercio general
SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS EN ESTABLECIMIENTOS CON SERVICIO DE MESA Y/O EN MOSTRADOR N.C.P.,626,bar_restaurante,gastronomia
"VENTA AL POR MENOR DE ARTÍCULOS DE MARROQUINERÍA, PARAGUAS Y SIMILARES N.C.P.",624,marroquineria,indumentaria
